Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Jarrett Guarantano,Washington State,2019,2022,4,3,13,135.7,10.4,NA
Quinn Ewers,Texas,2022,2024,2,1,10,131.9,13.2,NA
Austin Appleby,Florida,2014,2017,3,3,10,127.5,12.7,NA
J.W. Walsh,Oklahoma State,2013,2016,3,3,8,126.7,15.8,NA
Ryan Hilinski,Northwestern,2019,2024,1,1,11,123.4,11.2,NA
Tyler Shough,Texas Tech,2022,2024,5,4,7,123.1,17.6,NA
David Blough,Purdue,2015,2019,2,2,10,122.3,12.2,NA
Jacob Park,Iowa State,2016,2018,3,1,10,121.5,12.2,NA
DaMarcus Smith,North Texas,2015,2016,3,1,10,117.1,11.7,NA
Kyle Allen,Houston,2014,2018,1,1,9,113.3,12.6,NA
Graham Mertz,Florida,2021,2024,3,3,13,109.8,8.4,NA
Avery Johnson,Kansas State,2023,2026,1,1,8,108,13.5,NA
Everett Golson,Florida State,2015,2016,5,5,9,105.6,11.7,NA
Jarrett Guarantano,Washington State,2018,2022,3,2,12,104.8,8.7,NA
Devin Leary,Kentucky,2022,2024,5,4,6,104.7,17.4,NA
Austin Appleby,Florida,2015,2017,4,4,5,99.6,19.9,NA
Shane Buechele,SMU,2017,2021,2,2,9,98.1,10.9,NA
Kaidon Salter,Liberty,2022,2024,2,2,8,97.9,12.2,NA
David Blough,Purdue,2017,2019,4,4,9,97.8,10.9,NA
Ethan Garbers,UCLA,2023,2024,4,4,8,97.6,12.2,NA
Tyler Van Dyke,Miami,2022,2024,3,3,9,96.4,10.7,NA
Jeff Sims,Nebraska,2022,2024,3,3,7,92.5,13.2,NA
Jayden Daniels,LSU,2020,2024,2,2,4,92.3,23.1,NA
Grant Gunnell,Sam Houston State,2019,2024,1,1,8,91,11.4,NA
Graham Mertz,Florida,2020,2024,2,2,7,87.3,12.5,NA
Conner Weigman,Texas A&M,2023,2025,2,2,4,85.5,21.4,NA
Ryan Hilinski,Northwestern,2022,2024,4,4,8,80.4,10,NA
Jarrett Guarantano,Washington State,2020,2022,5,4,7,80.2,11.5,NA
Jacob Park,Iowa State,2017,2018,4,2,4,80.1,20,NA
Brandon McIlwain,California,2018,2019,3,3,10,79,7.9,NA
Myles Brennan,LSU,2020,2022,4,4,3,76.2,25.4,NA
Dante Moore,UCLA,2023,2026,1,1,9,76.1,8.5,NA
Haynes King,Georgia Tech,2022,2024,3,3,6,75.7,12.6,NA
Conner Weigman,Texas A&M,2022,2025,1,1,5,75.5,15.1,NA
Austin Appleby,Florida,2016,2017,5,5,9,75.4,8.4,NA
Tyler Shough,Texas Tech,2023,2024,6,5,4,74.7,18.7,NA
Zack Greenlee,UTEP,2015,2018,3,3,7,74.7,10.7,NA
Feleipe Franks,Arkansas,2017,2021,2,2,11,74.1,6.7,NA
Devin Leary,Kentucky,2019,2024,2,1,8,73.4,9.2,NA
Anthony Russo,Michigan State,2020,2022,5,4,3,72.7,24.2,NA
Taulia Tagovailoa,Maryland,2020,2024,2,2,4,71.3,17.8,NA
Katin Houser,Michigan State,2023,2025,2,2,11,69.3,6.3,NA
Miller Moss,USC,2023,2024,3,3,4,68.4,17.1,NA
Tyler Buchner,Alabama,2021,2024,1,1,10,67.5,6.8,NA
Brandon Peters,Illinois,2021,2022,6,6,9,66.8,7.4,NA
Johnny Stanton,UNLV,2016,2018,4,5,4,66.1,16.5,NA
Johnny Stanton,UNLV,2016,2018,4,6,4,66.1,16.5,NA
Luke Del Rio,Florida,2016,2018,3,3,6,66,11,NA
Tyler Buchner,Alabama,2022,2024,2,2,3,64.4,21.5,NA
Brandon Wimbush,UCF,2018,2020,4,4,6,64.4,10.7,NA
Tyler Shough,Texas Tech,2021,2024,4,3,4,64.3,16.1,NA
Bart Houston,Wisconsin,2016,2017,5,5,11,63.8,5.8,NA
Hudson Card,Purdue,2022,2024,3,3,6,63.7,10.6,NA
Dylan Morris,Washington,2020,2024,2,2,4,63.6,15.9,NA
Johnny Stanton,UNLV,2017,2018,5,7,6,62.6,10.4,NA
Johnny Stanton,UNLV,2017,2018,5,8,6,62.6,10.4,NA
Devin Leary,Kentucky,2020,2024,3,2,4,61.9,15.5,NA
Zack Greenlee,UTEP,2017,2018,5,5,9,60.1,6.7,NA
J.J. McCarthy,Michigan,2021,2024,1,1,11,59,5.4,NA
TJ Finley,Texas State,2021,2024,2,2,9,55.5,6.2,NA
TJ Finley,Texas State,2020,2024,1,1,5,55,11,NA
Jarrett Guarantano,Washington State,2017,2022,2,1,9,54,6,NA
Zach Pyron,Georgia Tech,2022,2025,1,1,3,53.3,17.8,NA
Brandon McIlwain,California,2016,2019,1,1,8,52.7,6.6,NA
Quincy Patterson II,Temple,2019,2024,2,2,5,52.4,10.5,NA
Chandler Morris,TCU,2021,2024,2,2,4,51.8,13,NA
Luke Doty,South Carolina,2021,2024,2,2,5,50.9,10.2,NA
Feleipe Franks,Arkansas,2019,2021,4,4,3,50.7,16.9,NA
Brandon Peters,Illinois,2020,2022,5,5,5,48.8,9.8,NA
Max Browne,Pittsburgh,2017,2018,5,5,6,46.5,7.7,NA
Hudson Card,Purdue,2021,2024,2,2,7,45.3,6.5,NA
Malik Zaire,Florida,2014,2018,2,2,5,45.3,9.1,NA
Garrett Nussmeier,LSU,2023,2024,3,3,6,43.8,7.3,NA
Cade McNamara,Iowa,2020,2024,2,2,4,43.7,10.9,NA
