0,1,2,3,4
Tyrod Taylor,Virginia Tech,2011 Rd. 6,Baltimore RavensBuffalo BillsCleveland Browns[64]Los Angeles ChargersHouston TexansNew York Giants,2010ACC Football Player of the Year2010ACC Offensive Player of the YearSuper Bowl XLVIIChampion
Nick Crissman,UCLA,Undrafted,None,None
Dayne Crist,Notre DameKansas[66],Undrafted,Baltimore Ravens[66],None
Blaine Gabbert,Missouri,2011 Rd. 1,Jacksonville JaguarsSan Francisco 49ersArizona Cardinals[67]Tennessee TitansTampa Bay Buccaneers,Elite 11 MVPSuper Bowl champion (2020)
Mike Glennon,NC State,2013 Rd. 3,Tampa Bay BuccaneersChicago BearsArizona Cardinals[68]Tennessee TitansTampa Bay BuccaneersJacksonville JaguarsNew York Giants,None
Jacory Harris,Miami (FL),Undrafted,Philadelphia Eagles,None
Star Jackson,AlabamaGeorgia State,Undrafted,None,None
Landry Jones,Oklahoma,2013 Rd. 4,Pittsburgh Steelers[69]Jacksonville JaguarsOakland Raiders,2010Sammy Baugh Trophy2011 Fiesta BowlOffensive MVP
Andrew Luck,Stanford,2012 Rd. 1,Indianapolis Colts[70],"2010Heisman TrophyFinalist2011 Orange BowlMVP2011Heisman TrophyFinalist2011Maxwell Award2011Walter Camp Award2011Johnny Unitas Golden Arm Award2xPac-12 Offensive Player of the Year(2010, 2011)2012 NFL DraftNumber One Overall Selection"
EJ Manuel,Florida State,2013 Rd. 1,Buffalo BillsOakland Raiders[71],2010 Gator BowlMVP2012 All-ACC Second Team by Coaches and Media
Kyle Parker,Clemson,Undrafted,None,None
Sean Renfree,Duke,2013 Rd. 7,Atlanta FalconsTampa Bay Buccaneers[72],None
John Wienke,Iowa,Undrafted,None,None
Tajh Boyd,Clemson,2014 Rd. 6,New York JetsPittsburgh Steelers,2011 All-ACC First Team2012ACC Football Player of the Year2012ACC Offensive Player of the Year
Richard Brehaut,UCLA,Undrafted,None,None
Allan Bridgford,CaliforniaSouthern Miss,Undrafted,None,None
Raymond Cotton,Ole MissSouth AlabamaMississippi Gulf Coast CCBelhavenMississippi College[74],Undrafted,None,None
Garrett Gilbert,TexasSMU,2014 Rd. 6,St. Louis RamsNew England PatriotsDetroit LionsOakland RaidersCarolina Panthers[75]Cleveland BrownsDallas Cowboys,2008 USA Today National Offensive High School Player of the Year2009Gatorade National Player of the Year
Andrew Maxwell,Michigan State,Undrafted,None,None
A. J. McCarron,Alabama,2014 Rd. 5,Cincinnati BengalsBuffalo Bills[76]Oakland RaidersHouston TexansAtlanta Falcons,"2012 BCS National Championship GameOffensive MVP2013 Maxwell Award Winner2013 Heisman Trophy Finalist2013 Johnny Unitas Golden Arm Award Winner2012 All-SEC Second Team by CoachesAP 3 time national champion (2009, 2011, 2012)"
Zach Mettenberger,GeorgiaButler CCLSU[77],2014 Rd. 6,Tennessee TitansSan Diego ChargersPittsburgh Steelers[78],None
Aaron Murray,Georgia,2014 Rd. 5,Kansas City ChiefsArizona CardinalsPhiladelphia EaglesLos Angeles Rams[79],"Elite 11 MVP2011 All-SEC Second Team by Coaches and AP2013 Capital One Bowl MVPAll-time SEC Passing Touchdown LeaderAll-time SEC Career Passing Yards LeaderFirst SEC QB to pass for 3,000yds in 4 straight seasons"
Bryn Renner,North Carolina,Undrafted,Denver BroncosBaltimore RavensTennessee TitansSan Diego ChargersPittsburgh Steelers[80],None
Tom Savage,RutgersArizonaPittsburgh[81],2014 Rd. 4,Houston Texans[82]New Orleans SaintsSan Francisco 49ersCincinnati BengalsDetroit Lions,None
Geno Smith,West Virginia,2013 Rd. 2,New York JetsNew York GiantsLos Angeles Chargers[83]Seattle Seahawks,2010 All-Big East Conference Second Team2011 All-Big East Conference First Team2012 Orange BowlMost Valuable Player2012 All-Big 12 Conference Second Team2022 NFL Completion Percentage leader2022 Pro BowlSelection2022 NFL Comeback Player of the Year
Blake Bell,Oklahoma,2015 Rd. 4(Drafted asTE),San Francisco 49ersMinnesota Vikings[86]Jacksonville JaguarsDallas CowboysKansas City Chiefs,2011 Insight BowlOffensive MVP
Joe Boisture,Michigan StateSaginaw Valley State,Undrafted,None,None
Rob Bolden,Penn StateLSUEastern Michigan[87],Undrafted,None,None
Tyler Bray,Tennessee,Undrafted,Kansas City ChiefsChicago Bears[88],None
Barry Brunetti,West VirginiaOle Miss,Undrafted,None,None
Devin Gardner,Michigan,Undrafted,New England PatriotsPittsburgh Steelers,None
Jake Heaps,BYUKansasMiami (FL)[89],Undrafted,New York JetsSeattle Seahawks[89],Elite 11 MVP2010 New Mexico BowlMVP
Austin Hinder,California,Undrafted,None,None
Nick Montana,WashingtonMt. San AntonioTulane[90],Undrafted,None,None
Jesse Scroggins,USCEl CaminoArizonaLindenwood[91],Undrafted,None,None
Phillip Sims,AlabamaVirginiaWinston-Salem State[92],Undrafted,Arizona CardinalsSeattle Seahawks[92],None
Chandler Whitmer,IllinoisButler CCConnecticut[93],Undrafted,None,None
Archie Bradley,Oklahoma[95],Undrafted,None,
Teddy Bridgewater,Louisville,2014 Rd. 1,Minnesota VikingsNew York Jets[96]New Orleans SaintsCarolina PanthersDenver BroncosMiami Dolphins,2011Big East Rookie of the Year2012Big East Offensive Player of the Year
Evan Crower,Stanford,Undrafted,None,None
Jeff Driskel,FloridaLouisiana Tech,2016 Rd. 6,San Francisco 49ersCincinnati Bengals[97]Detroit LionsDenver BroncosHouston Texans,Elite 11 MVP
Phillip Ely,AlabamaToledo,Undrafted,None,None
Kiehl Frazier,AuburnOuachita Baptist[98],Undrafted,None,None
Everett Golson,Notre DameFlorida State,Undrafted,None,None
Cody Kessler,USC,2016 Rd. 3,Cleveland BrownsJacksonville JaguarsPhiladelphia EaglesNew England Patriots,None
Adam Pittser,WyomingIllinois State,Undrafted,None,None
DaMarcus Smith,Western KentuckyButler CC[99]North Texas[100]Kentucky Wesleyan[101],Undrafted,None,None
Kendal Thompson,OklahomaUtah,Undrafted,Washington RedskinsLos Angeles Rams,None
J.W. Walsh,Oklahoma State,Undrafted,None,2012Big 12 Freshman Offensive Player of the Year
Austin Appleby,PurdueFlorida,Undrafted,Dallas Cowboys[103],None
Neal Burcham,SMU,Undrafted,None,Elite 11 co-MVP
Shane Dillon,ColoradoCuyamaca[104]Metro State[105][106],Undrafted,None,None
Bart Houston,Wisconsin[107],Undrafted,Pittsburgh Steelers[107],None
Chad Kelly,ClemsonEast Mississippi CCOle Miss[108],2017 Rd. 7,Denver BroncosIndianapolis Colts,2014 NJCAA National Champion
Zach Kline,CaliforniaButteIndiana StateFresno State[109],Undrafted,None,None
Jeff Lindquist,Washington,Undrafted,None,None
Tanner Mangum,BYU,Undrafted,None,Elite 11 co-MVP2015 Touchdown Club of Columbus Freshman of the Year
Zeke Pike,AuburnLouisvilleMurray State[110],Undrafted,None,None
Chad Voytik,PittsburghArkansas State,Undrafted,None,None
Jameis Winston,Florida State,2015 Rd. 1,Tampa Bay BuccaneersNew Orleans Saints,Elite 11 co-MVP2013 Heisman Trophy2013 Davey O'Brien National Quarterback Award2013 Walter Camp Football Foundation Award2013 Manning Award2013 ACC Player of the Year2013 ACC Rookie of the Year2013 Sporting News Player of the Year2013 Consensus All-American2013 AP National Player of the Year2014 ACC Athlete of the Year2014 BCS National Champion2014 BCS National Championship Offensive MVP2015 NFL DraftNumber One Overall Selection2015 NFL Pro Bowl
Max Browne,USCPittsburgh,Undrafted,None,None
Shane Cockerille,Maryland,Undrafted,None,None
Luke Del Rio,AlabamaOregon StateFlorida[112],Undrafted,None,None
Joshua Dobbs,Tennessee,2017 Rd. 4,Pittsburgh SteelersJacksonville JaguarsArizona Cardinals,2015 TaxSlayer Bowl MVP
Jared Goff,California,2016 Rd. 1,Los Angeles RamsDetroit Lions,2017 Pro Bowl2018 Pro Bowl2015 Armed Forces Bowl (December) MVP2022 Pro Bowl
