Name,School,Draft,NFL Team,Awards,Year
Ty Simpson,Alabama,In School,None,None,2021
Conner Weigman,Texas A&M,In School,None,None,2021
Jackson Arnold,Oklahoma,In School,None,Elite 11 MVP,2022
Pierce Clarkson,Louisville,In School,None,None,2022
Eli Holstein,Alabama,In School,None,None,2022
Avery Johnson,Kansas State,In School,None,None,2022
JJ Kohl,Iowa State,In School,None,None,2022
Kenny Minchey,Notre Dame,In School,None,None,2022
Dante Moore,Oregon,In School,None,None,2022
Malachi Nelson,USC,In School,None,None,2022
Austin Novosad,Oregon,In School,None,None,2022
Chris Parson,Mississippi State,In School,None,None,2022
Malachi Singleton,Arkansas,In School,None,None,2022
Jaxon Smolik*,Penn State,In School,None,None,2022
Christopher Vizzina,Clemson,In School,None,None,2022
Elijah Brown,Stanford,In School,None,None,2023
Jadyn Davis,Michigan,In School,None,None,2023
Dylan Raiola,Nebraska,In School,None,None,2023
Julian Sayin,Alabama,In School,None,Elite 11 MVP,2023
C.J. Carr,Notre Dame,In School,None,None,2023
Daniel Kaelin,Nebraska,In School,None,None,2023
Air Noland,Ohio State,In School,None,None,2023
Demond Williams,Arizona,In School,None,None,2023
Colin Hurley,LSU,In School,None,None,2023
Trever Jackson,Ole Miss,In School,None,None,2023
DJ Lagaway,Florida,In School,None,None,2023
Luke Kromenhoek,Florida State,In School,None,None,2023
Ethan Grunkemeyer,Penn State,In School,None,None,2023
Hauss Hejny,TCU,In School,None,None,2023
Ryan Puglisi,Georgia,In School,None,None,2023
Isaac Wilson,Utah,In School,None,None,2023
Dante Reno,South Carolina,In School,None,None,2023
Michael Hawkins,Oklahoma,In School,None,None,2023
Will Hammond,Texas Tech,In School,None,None,2023
Danny O’Neil,Colorado,In School,None,None,2023
